original_ID_ENTITA,original_id_dataset_originale,original_nome_dataset,original_last_update,original_municipio,original_indirizzo,original_civico,original_codice_albero,original_data_origine,original_genere_albero,original_specie_albero,original_varieta_albero,original_diam_tronc_albero,original_diam_chiom_albero,original_h_m_albero,original_longitudine,original_latitudine,original_Location,original_categoria,original_Funzionante_antenna,original_Città,original_CAP,original_NIL,original_TARGA_bottega,original_ANNO_ISTITUZIONE_bottega,original_attivita_storica,original_ent_WDPOI,original_P1566_WDPOI,original_codice_panchina,original_descrizione_codice_panchina,original_codice_tavolo,original_descrizione_codice_tavolo,original_Fonte_NIL,original_Shape_Length,original_Shape_Area,original_entLabel_WDPOI,original_wikidata_POI,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
264,40.0,Nuclei d'Identità Locale (NIL) VIGENTI - PGT 2030,2021-02-12,,nan,,,2020-05-02,,,,,,,9.181961364439005,45.40110707519872,"(45.40110707519872, 9.181961364439005)",NIL,,,,RONCHETTO DELLE RANE,,,,,,,,,,Milano 2030 - PGT Approvato,2223.117187262569,188863.44696488025,,,27.433123255585087,"Via Pescara, 41, 20142 Milano MI, Italia",45.401059,9.182306,,41,Via Pescara,20142,Comune di Milano,Quartiere Gratosoglio,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
278,536.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,5.0,nan,,,,,,,,,,9.18232880357469,45.4012041485202,"(45.4012041485202, 9.18232880357469)",fontana,,,20142.0,RONCHETTO DELLE RANE,,,,,,,,,,,,,,,7.669932385800715,"Via Pescara, 41, 20241 Milano MI, Italia",45.4011435,9.1823756,,41,Via Pescara,20241,,Municipio 5,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300,283.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,5.0,nan,,,,,,,,,,9.205637211124568,45.40135271621435,"(45.40135271621435, 9.205637211124568)",fontana,,,20141.0,PARCO DELLE ABBAZIE,,,,,,,,,,,,,,,5.613591588076268,"Via Camporgnago, 20241 Milano MI, Italia",45.4013904,9.2055295,Via Camporgnago,,Via Camporgnago,20241,,Municipio 5,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
654,196.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,5.0,nan,,,,,,,,,,9.180814581681114,45.40273866784504,"(45.40273866784504, 9.180814581681114)",fontana,,,20142.0,RONCHETTO DELLE RANE,,,,,,,,,,,,,,,21.059072343340915,"Via Manduria, 108/2, 20142 Milano MI, Italia",45.402915,9.180913,,108/2,Via Manduria,20142,Comune di Milano,Quartiere Gratosoglio,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
997,39.0,Nuclei d'Identità Locale (NIL) VIGENTI - PGT 2030,2021-02-12,,nan,,,2020-05-02,,,,,,,9.20475550391715,45.40341224751581,"(45.40341224751581, 9.20475550391715)",NIL,,,,QUINTOSOLE,,,,,,,,,,Milano 2030 - PGT Approvato,6740.830820525122,1058525.104513821,,,107.80546320765713,"Via Quintosole, 20, 20241 Noverasco - Sporting Mirasole MI, Italia",45.402747,9.20576,,20,Via Quintosole,20241,Comune di Milano,,Noverasco - Sporting Mirasole,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1421,185.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,5.0,nan,,,,,,,,,,9.173368363426423,45.40542025151507,"(45.40542025151507, 9.173368363426423)",fontana,,,20142.0,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,,,,,,,,,,,,,,,21.146318232127673,"Via Michele Saponaro, 37, 20142 Milano MI, Italia",45.405238,9.173291,,37,Via Michele Saponaro,20142,Comune di Milano,Quartiere Gratosoglio,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
1777,263.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,5.0,nan,,,,,,,,,,9.172599073881306,45.407712165334665,"(45.407712165334665, 9.172599073881306)",fontana,,,20142.0,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,,,,,,,,,,,,,,,32.40216965499571,"Via Michele Saponaro, 28, 20142 Milano MI, Italia",45.40751,9.172898,,28,Via Michele Saponaro,20142,Comune di Milano,Quartiere Gratosoglio,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
2128,98.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,5.0,nan,,,,,,,,,,9.171111499979054,45.40921966566415,"(45.40921966566415, 9.171111499979054)",fontana,,,20142.0,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,,,,,,,,,,,,,,,24.922364439964063,"Via Costantino Baroni, 106, 20142 Milano MI, Italia",45.409022,9.170961,,106,Via Costantino Baroni,20142,Comune di Milano,Quartiere Gratosoglio,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
2466,85.0,Nuclei d'Identità Locale (NIL) VIGENTI - PGT 2030,2021-02-12,,nan,,,2020-05-02,,,,,,,9.205638763202876,45.41161839040252,"(45.411618390402516, 9.205638763202876)",NIL,,,,PARCO DELLE ABBAZIE,,,,,,,,,,Milano 2030 - PGT Approvato,33829.22146348793,13733840.504780184,,,86.8273886949193,"Via Giuseppe Ripamonti, 446, 20141 Noverasco - Sporting Mirasole MI, Italia",45.411609,9.206751,,446,Via Giuseppe Ripamonti,20141,Comune di Milano,,Noverasco - Sporting Mirasole,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
2487,41.0,Nuclei d'Identità Locale (NIL) VIGENTI - PGT 2030,2021-02-12,,nan,,,2020-05-02,,,,,,,9.171188127118214,45.41168829367425,"(45.41168829367425, 9.171188127118214)",NIL,,,,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,,,,,,,,,,Milano 2030 - PGT Approvato,9810.649561205004,3316447.6607358987,,,4.698009090952777,"Via Costantino Baroni, 58, 20142 Milano MI, Italia",45.4116513,9.1712172,,58,Via Costantino Baroni,20142,,Gratosoglio,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
