latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.46,9.18,145.0,7200,Europe/Rome,CEST

time,temperature_2m (°C),precipitation_probability (%),precipitation (mm),weather_code (wmo code),wind_speed_10m (km/h),is_day ()
2024-09-02T00:00,23.9,0,0.00,3,1.8,0
2024-09-02T01:00,22.8,0,0.00,3,2.8,0
2024-09-02T02:00,22.2,0,0.00,3,3.7,0
2024-09-02T03:00,22.5,0,0.00,3,2.3,0
2024-09-02T04:00,22.1,0,0.00,3,1.8,0
2024-09-02T05:00,21.3,0,0.00,3,2.6,0
2024-09-02T06:00,20.8,0,0.00,3,1.8,0
2024-09-02T07:00,20.4,8,0.00,2,2.3,1
2024-09-02T08:00,21.0,8,0.00,3,1.8,1
2024-09-02T09:00,22.5,15,0.00,3,4.8,1
2024-09-02T10:00,24.2,15,0.00,3,3.1,1
2024-09-02T11:00,25.7,3,0.00,1,1.8,1
2024-09-02T12:00,27.5,10,0.00,2,4.3,1
2024-09-02T13:00,28.2,8,0.00,2,7.1,1
2024-09-02T14:00,28.9,5,0.00,2,7.4,1
2024-09-02T15:00,28.6,8,0.00,3,11.0,1
2024-09-02T16:00,28.7,25,0.00,2,12.2,1
2024-09-02T17:00,28.6,28,0.00,1,12.0,1
2024-09-02T18:00,28.1,13,0.00,1,13.0,1
2024-09-02T19:00,27.1,15,0.00,1,12.5,1
2024-09-02T20:00,25.5,13,0.00,3,8.7,0
2024-09-02T21:00,24.1,8,0.00,2,4.5,0
2024-09-02T22:00,23.5,3,0.00,2,4.2,0
2024-09-02T23:00,22.8,5,0.00,1,4.2,0
2024-09-03T00:00,22.3,8,0.00,1,3.3,0
2024-09-03T01:00,21.8,8,0.00,1,4.4,0
2024-09-03T02:00,21.2,5,0.00,1,3.8,0
2024-09-03T03:00,20.8,0,0.00,1,3.6,0
2024-09-03T04:00,20.3,0,0.00,1,3.7,0
2024-09-03T05:00,19.9,0,0.00,1,3.0,0
2024-09-03T06:00,19.5,5,0.00,2,4.0,0
2024-09-03T07:00,19.3,3,0.00,1,4.1,1
2024-09-03T08:00,20.0,8,0.00,1,2.1,1
2024-09-03T09:00,22.2,13,0.00,0,2.6,1
2024-09-03T10:00,24.4,10,0.00,0,4.8,1
2024-09-03T11:00,26.1,18,0.00,0,4.8,1
2024-09-03T12:00,27.6,8,0.00,0,4.4,1
2024-09-03T13:00,28.7,8,0.00,2,4.3,1
2024-09-03T14:00,29.6,8,0.00,2,5.8,1
2024-09-03T15:00,29.9,8,0.00,1,7.9,1
2024-09-03T16:00,30.3,8,0.00,1,9.0,1
2024-09-03T17:00,30.0,5,0.00,1,8.6,1
2024-09-03T18:00,29.4,3,0.00,2,8.2,1
2024-09-03T19:00,28.4,3,0.00,3,7.1,1
2024-09-03T20:00,26.9,5,0.00,3,4.7,0
2024-09-03T21:00,26.1,7,0.00,2,3.4,0
2024-09-03T22:00,25.4,9,0.00,2,1.9,0
2024-09-03T23:00,24.5,13,0.00,3,6.1,0
2024-09-04T00:00,23.6,19,0.00,2,4.7,0
2024-09-04T01:00,23.0,26,0.00,2,2.3,0
2024-09-04T02:00,22.6,33,0.00,3,4.9,0
2024-09-04T03:00,22.2,39,0.00,3,5.2,0
2024-09-04T04:00,21.6,45,0.00,3,6.0,0
2024-09-04T05:00,21.1,48,0.20,3,6.2,0
2024-09-04T06:00,20.7,48,0.40,80,6.1,0
2024-09-04T07:00,20.5,47,0.10,3,4.0,1
2024-09-04T08:00,20.6,45,0.30,80,7.8,1
2024-09-04T09:00,21.4,43,0.20,80,6.6,1
2024-09-04T10:00,22.4,41,0.20,3,7.7,1
2024-09-04T11:00,23.0,38,0.20,80,6.6,1
2024-09-04T12:00,24.3,35,0.00,3,5.5,1
2024-09-04T13:00,25.2,31,0.00,3,6.5,1
2024-09-04T14:00,26.4,28,0.00,3,6.6,1
2024-09-04T15:00,27.3,25,0.00,3,5.6,1
2024-09-04T16:00,27.7,22,0.00,3,4.8,1
2024-09-04T17:00,27.8,20,0.00,3,4.6,1
2024-09-04T18:00,27.7,23,0.00,2,3.8,1
2024-09-04T19:00,27.2,22,0.00,3,4.0,1
2024-09-04T20:00,26.0,23,0.00,2,4.5,0
2024-09-04T21:00,24.7,24,0.00,3,5.2,0
2024-09-04T22:00,23.9,27,0.00,3,3.9,0
2024-09-04T23:00,23.2,30,0.00,1,3.9,0
2024-09-05T00:00,22.7,33,0.00,3,3.4,0
2024-09-05T01:00,22.4,36,0.00,3,3.5,0
2024-09-05T02:00,22.0,40,0.00,3,4.7,0
2024-09-05T03:00,21.5,44,0.60,3,3.9,0
2024-09-05T04:00,20.8,48,0.60,3,3.1,0
2024-09-05T05:00,20.4,53,0.60,3,2.2,0
2024-09-05T06:00,20.1,58,1.80,95,1.8,0
2024-09-05T07:00,20.1,62,1.80,95,3.6,1
