id,latitudine,longitudine,Location,data,ora,temperatura_C,probabilita_precipitazioni,precipitazioni_mm,codice_wmo,velocita_vento_kmh,giorno_notte,descrizione,immagine,categoria,nome_dataset,last_update
1,45.46,9.18,"(45.46, 9.18)",2024-09-02,00:00,23.9,0,0,3,1.8,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
2,45.46,9.18,"(45.46, 9.18)",2024-09-02,01:00,22.8,0,0,3,2.8,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
3,45.46,9.18,"(45.46, 9.18)",2024-09-02,02:00,22.2,0,0,3,3.7,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
4,45.46,9.18,"(45.46, 9.18)",2024-09-02,03:00,22.5,0,0,3,2.3,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
5,45.46,9.18,"(45.46, 9.18)",2024-09-02,04:00,22.1,0,0,3,1.8,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
6,45.46,9.18,"(45.46, 9.18)",2024-09-02,05:00,21.3,0,0,3,2.6,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
7,45.46,9.18,"(45.46, 9.18)",2024-09-02,06:00,20.8,0,0,3,1.8,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
8,45.46,9.18,"(45.46, 9.18)",2024-09-02,07:00,20.4,8,0,2,2.3,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
9,45.46,9.18,"(45.46, 9.18)",2024-09-02,08:00,21,8,0,3,1.8,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
10,45.46,9.18,"(45.46, 9.18)",2024-09-02,09:00,22.5,15,0,3,4.8,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
