category_id;root;label_level_1;label_level_2
1;POI;;
2;POI;Accommodation Service;
3;POI;Accommodation Service;Hotel
4;POI;Accommodation Service;Accommodation Service Related
5;POI;Accommodation Service;Hostel
6;POI;Enterprises;
7;POI;Enterprises;Famous Enterprise
8;POI;Enterprises;Farming, Forestry, Animal Husbandry and Fishery Base
9;POI;Enterprises;Factory
10;POI;Enterprises;Enterprises
11;POI;Enterprises;Company
12;POI;Science/Culture & Education Service;
13;POI;Science/Culture & Education Service;Arts Organization
14;POI;Science/Culture & Education Service;Archives Hall
15;POI;Science/Culture & Education Service;School
16;POI;Science/Culture & Education Service;Library
17;POI;Science/Culture & Education Service;Exhibition Hall
18;POI;Science/Culture & Education Service;Training Institution
19;POI;Science/Culture & Education Service;Media Organization
20;POI;Science/Culture & Education Service;Planetarium
21;POI;Science/Culture & Education Service;Science & Education Cultural Place
22;POI;Science/Culture & Education Service;Convention & Exhibition Center
23;POI;Science/Culture & Education Service;Art Gallery
24;POI;Science/Culture & Education Service;Museum
25;POI;Science/Culture & Education Service;Science & Technology Museum
26;POI;Science/Culture & Education Service;Research Institution
27;POI;Science/Culture & Education Service;Driving School
28;POI;Science/Culture & Education Service;Cultural Palace
29;POI;Governmental Organization & Social Group;
30;POI;Governmental Organization & Social Group;Foreign Organization
31;POI;Governmental Organization & Social Group;Public Security Organization
32;POI;Governmental Organization & Social Group;Traffic Vehicle Management
33;POI;Governmental Organization & Social Group;Governmental Organization
34;POI;Governmental Organization & Social Group;Industrial and Commercial Taxation Institution
35;POI;Governmental Organization & Social Group;Governmental & Social Groups Related
36;POI;Governmental Organization & Social Group;Democratic Party
37;POI;Governmental Organization & Social Group;Social Group
38;POI;Shopping;
39;POI;Shopping;Comprehensive Market
40;POI;Shopping;Sports Store
41;POI;Shopping;Franchise Store
42;POI;Shopping;Personal Care Items Shop
43;POI;Shopping;Convenience Store
44;POI;Shopping;Home Electronics Hypermarket
45;POI;Shopping;Supermarket
46;POI;Shopping;Shopping Plaza
47;POI;Shopping;Clothing Store
48;POI;Shopping;Home Building Materials Market
49;POI;Shopping;Plants & Pet Market
50;POI;Shopping;Stationery Store
51;POI;Shopping;Commercial Street
52;POI;Shopping;Shopping Related Places
53;POI;Daily Life Service;
54;POI;Daily Life Service;Job Center
55;POI;Daily Life Service;Logistics Service
56;POI;Daily Life Service;Agency
57;POI;Daily Life Service;Professional Service Firm
58;POI;Daily Life Service;Baby Service Place
59;POI;Daily Life Service;Laundry
60;POI;Daily Life Service;Information Centre
61;POI;Daily Life Service;Ticket Office
62;POI;Daily Life Service;Repair Store
63;POI;Daily Life Service;Photo Finishing
64;POI;Daily Life Service;Beauty and Hairdressing Store
65;POI;Daily Life Service;Telecom Office
66;POI;Daily Life Service;Daily Life Service Place
67;POI;Daily Life Service;Bath & Massage Center
68;POI;Daily Life Service;Move Service
69;POI;Daily Life Service;Post Office
70;POI;Daily Life Service;Travel Agency
71;POI;Sports & Recreation;
72;POI;Sports & Recreation;Holiday & Nursing Resort
73;POI;Sports & Recreation;Sports Stadium
74;POI;Sports & Recreation;Recreation Center
75;POI;Sports & Recreation;Sports & Recreation Places
76;POI;Sports & Recreation;Recreation Place
77;POI;Sports & Recreation;Theatre & Cinema
78;POI;Sports & Recreation;Golf Related
79;POI;Food & Beverages;
80;POI;Food & Beverages;Chinese Food Restaurant
81;POI;Food & Beverages;Bakery
82;POI;Food & Beverages;Leisure Food Restaurant
83;POI;Food & Beverages;Dessert House
84;POI;Food & Beverages;Icecream Shop
85;POI;Food & Beverages;Foreign Food Restaurant
86;POI;Food & Beverages;Tea House
87;POI;Food & Beverages;Coffee House
88;POI;Food & Beverages;Fast Food Restaurant
89;POI;Medical Service;
90;POI;Medical Service;Pharmacy
91;POI;Medical Service;Hospital
92;POI;Medical Service;Clinic
93;POI;Medical Service;Veterinary Hospital
94;POI;Medical Service;Disease Prevention Institution
95;POI;Medical Service;Emergency Center
96;POI;Medical Service;Medical and Health Care Service Place
97;POI;Medical Service;Special Hospital
98;POI;Finance & Insurance Service;
99;POI;Finance & Insurance Service;Insurance Company
100;POI;Finance & Insurance Service;Finance Company
101;POI;Finance & Insurance Service;Finance & Insurance Service Institution
102;POI;Finance & Insurance Service;Securities Company
103;POI;Finance & Insurance Service;Bank Related
104;POI;Finance & Insurance Service;Bank
105;POI;Commercial House;
106;POI;Commercial House;Commercial House Related
107;POI;Commercial House;Residential Area
108;POI;Commercial House;Industrial Park
109;POI;Commercial House;Building
110;POI;Tourist Attraction;
111;POI;Tourist Attraction;Scenery Spot
112;POI;Tourist Attraction;Tourist Attraction Related
113;POI;Tourist Attraction;Park & Plaza
