sample_id,item_qid,preferred_label,serena_decision,blerina_decision,fabio_decision,serena_category,blerina_category,fabio_category,human_decision_majority,human_category_majority,adjudicated_final_label,adjudicated_final_category,adjudication_notes,llm_decision,llm_eventour_category,llm_confidence,llm_needs_review
ann_0001,Q4546860,10 Corso Como,keep_context,keep_context,exclude,special_interest_attraction,,,keep_context,,,,,candidate_exception,,0.78,True
ann_0002,Q81172370,AEM spa,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0003,Q338472,Accademia di belle arti di Brera,keep_poi,keep_poi,keep_poi,gallery_art_space,performing_arts_entertainment,,keep_poi,,,,,candidate_exception,,0.78,True
ann_0004,Q16163709,Alcatraz,keep_poi,keep_poi,keep_poi,performing_arts_entertainment,special_interest_attraction,special_interest_attraction,keep_poi,special_interest_attraction,,,,candidate_exception,,0.78,True
ann_0005,Q37158169,Anteo Spazio Cinema,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0006,Q111413056,Antica Locanda Dei Mercanti,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0007,Q111878946,Aparthotel Duomo,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0008,Q56328172,Apple Piazza Liberty,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0009,Q70050683,Archivio Alberto Zilocchi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0010,Q125745411,Archivio delle tesi di laurea dell'Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0011,Q113298714,Archivio delle tesi di laurea. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0012,Q111413053,Armani Hotel Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0013,Q81172421,Arredamenti Cattaneo srl,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0014,Q113515425,Associazione Culturale Biblioteca Famiglia Meneghina-Società del Giardino,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.74,True
ann_0015,Q81172471,Azienda ospedaliera Ospedale Niguarda Ca' Granda,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0016,Q81172496,Banca Regionale Europea spa,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0017,Q81172489,Banca commerciale italiana spa - BCI,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0018,Q2404922,Bar Basso,exclude,exclude,keep_context,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0019,Q18222706,Bar Bianco,exclude,exclude,keep_context,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0020,Q130308172,Bar Gattullo,exclude,exclude,keep_context,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0021,Q3634474,Bar Jamaica,exclude,exclude,keep_context,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0022,Q130308155,Bar Quadronno,exclude,exclude,keep_context,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0023,Q113515493,"Biblioteca ""Ettore Castiglioni""",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0024,Q113319485,Biblioteca AGIS lombarda,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.79,True
ann_0025,Q113468898,Biblioteca Archivio per la storia del movimento sociale cattolico in Italia. Università cattolica del Sacro Cuore,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0026,Q113319494,Biblioteca Assocalzaturifici,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0027,Q113298767,Biblioteca Biomedica di Città Studi. Sezione Prestito per il diritto allo studio. Università degli Studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.76,True
ann_0028,Q113298719,Biblioteca Bovisa Candiani. Politecnico di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0029,Q113298758,Biblioteca Bovisa La Masa del Politecnico di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.85,True
ann_0030,Q113319455,Biblioteca Centro Studi Educativi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0031,Q125745416,Biblioteca Cluster,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0032,Q112941453,Biblioteca Comunale Rionale Affori,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0033,Q112941460,Biblioteca Comunale Rionale Calvairate,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0034,Q112941671,Biblioteca Comunale Rionale Cassina Anna,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0035,Q112941550,Biblioteca Comunale Rionale Chiesa Rossa,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0036,Q112941445,Biblioteca Comunale Rionale Dergano - Bovisa,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0037,Q112941674,Biblioteca Comunale Rionale Fra Cristoforo,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.82,True
ann_0038,Q112941554,Biblioteca Comunale Rionale Gallaratese,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.74,True
ann_0039,Q112941451,Biblioteca Comunale Rionale Harar,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0040,Q112941449,Biblioteca Comunale Rionale Lorenteggio,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.82,True
ann_0041,Q112941557,Biblioteca Comunale Rionale Niguarda,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.85,True
