item,itemLabel,itemDescription,coord,directClass,directClassLabel
http://www.wikidata.org/entity/Q1085042,Q1085042,stazione della metropolitana di Milano,Point(9.2263 45.517697222),http://www.wikidata.org/entity/Q928830,stazione metropolitana
http://www.wikidata.org/entity/Q1085042,Q1085042,stazione della metropolitana di Milano,Point(9.2263 45.517697222),http://www.wikidata.org/entity/Q22808403,stazione sotterranea
http://www.wikidata.org/entity/Q1085066,Q1085066,stazione della metropolitana di Milano,Point(9.228056 45.523611),http://www.wikidata.org/entity/Q928830,stazione metropolitana
http://www.wikidata.org/entity/Q1085066,Q1085066,stazione della metropolitana di Milano,Point(9.228056 45.523611),http://www.wikidata.org/entity/Q22808403,stazione sotterranea
http://www.wikidata.org/entity/Q1085075,Q1085075,stazione della metropolitana di Milano,Point(9.222778 45.506667),http://www.wikidata.org/entity/Q928830,stazione metropolitana
http://www.wikidata.org/entity/Q1085075,Q1085075,stazione della metropolitana di Milano,Point(9.222778 45.506667),http://www.wikidata.org/entity/Q22808403,stazione sotterranea
http://www.wikidata.org/entity/Q1085136,Q1085136,stazione della metropolitana di Milano,Point(9.224444 45.512222),http://www.wikidata.org/entity/Q928830,stazione metropolitana
http://www.wikidata.org/entity/Q1085136,Q1085136,stazione della metropolitana di Milano,Point(9.224444 45.512222),http://www.wikidata.org/entity/Q22808403,stazione sotterranea
http://www.wikidata.org/entity/Q128201160,Q128201160,,Point(9.1939 45.4563),http://www.wikidata.org/entity/Q1498804,casa multifamiliare
http://www.wikidata.org/entity/Q128201517,Q128201517,,Point(9.1763 45.4701),http://www.wikidata.org/entity/Q1498804,casa multifamiliare
http://www.wikidata.org/entity/Q129950296,Q129950296,,Point(9.1944697 45.4600556),http://www.wikidata.org/entity/Q15255892,Havel's Place
http://www.wikidata.org/entity/Q130314319,Q130314319,,Point(9.1896 45.4496),http://www.wikidata.org/entity/Q41176,edificio
http://www.wikidata.org/entity/Q131338513,Q131338513,,Point(9.1498 45.4772),http://www.wikidata.org/entity/Q1498804,casa multifamiliare
http://www.wikidata.org/entity/Q133545536,Q133545536,,Point(9.217 45.6169),http://www.wikidata.org/entity/Q83405,fabbrica
http://www.wikidata.org/entity/Q614683,Q614683,stazione della metropolitana di Milano,Point(9.221111111 45.500833333),http://www.wikidata.org/entity/Q928830,stazione metropolitana
http://www.wikidata.org/entity/Q614683,Q614683,stazione della metropolitana di Milano,Point(9.221111111 45.500833333),http://www.wikidata.org/entity/Q22808403,stazione sotterranea
http://www.wikidata.org/entity/Q4546860,10 Corso Como,"shopping and dining complex in Milan, Italy",Point(9.187397 45.481929),http://www.wikidata.org/entity/Q11315,centro commerciale
http://www.wikidata.org/entity/Q18642550,1957 Summer Deaflympics,8th Summer Deaflympics,Point(9.16667 45.4667),http://www.wikidata.org/entity/Q27020041,stagione sportiva
http://www.wikidata.org/entity/Q634587,1988 World Rowing Championships,rowing regatta,Point(9.290277777 45.472777777),http://www.wikidata.org/entity/Q1413606,Campionati del mondo di canottaggio
http://www.wikidata.org/entity/Q112018380,AHD Rooms,"hotel in Milan, Italy",Point(9.19333 45.4651),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q4744942,American School of Milan,international school in Italy,Point(9.11172222 45.47159167),http://www.wikidata.org/entity/Q3914,scuola
http://www.wikidata.org/entity/Q111413066,Andreola Central Hotel,"hotel in Milan, Italy",Point(9.20757 45.4839),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q127947291,Antenna RAI Corso Sempione,,Point(9.167239 45.477828),http://www.wikidata.org/entity/Q131214,antenna
http://www.wikidata.org/entity/Q111413056,Antica Locanda Dei Mercanti,"hotel in Milan, Italy",Point(9.18479 45.46731),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q112018382,Aparthotel Casa MIA,"hotel in Milan, Italy",Point(9.19894 45.47776),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q111878946,Aparthotel Duomo,"hotel in Milan, Italy",Point(9.19333 45.46508),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q111413053,Armani Hotel Milano,"hotel in Milan, Italy",Point(9.19323 45.47052),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q111413036,Art Hotel Navigli,"hotel in Milan, Italy",Point(9.1698 45.45016),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q134889047,Atelier TuttoNero,art gallery of Milano,Point(9.2183189 45.451589268),http://www.wikidata.org/entity/Q383092,accademia di belle arti
http://www.wikidata.org/entity/Q134889047,Atelier TuttoNero,art gallery of Milano,Point(9.2183189 45.451589268),http://www.wikidata.org/entity/Q1007870,galleria d'arte
http://www.wikidata.org/entity/Q125510147,Bagni Misteriosi,"swimming pool in Milan, Italy",Point(9.20582 45.45381),http://www.wikidata.org/entity/Q1501,piscina
http://www.wikidata.org/entity/Q130308172,Bar Gattullo,"bar in Milano, Italy",Point(9.185889312 45.452278818),http://www.wikidata.org/entity/Q11707,ristorante
http://www.wikidata.org/entity/Q130308172,Bar Gattullo,"bar in Milano, Italy",Point(9.185889312 45.452278818),http://www.wikidata.org/entity/Q3240892,misura
http://www.wikidata.org/entity/Q130308155,Bar Quadronno,"bar in Milano, Italy",Point(9.195794539 45.45456686),http://www.wikidata.org/entity/Q3240892,misura
http://www.wikidata.org/entity/Q112018383,Be Mate Via Tivoli,"hotel in Milan, Italy",Point(9.18361 45.47213),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q135022213,Besenzanica grave,grave in Milan Monumental Cimitery,Point(9.178419542 45.487020453),http://www.wikidata.org/entity/Q173387,sepoltura
http://www.wikidata.org/entity/Q135022213,Besenzanica grave,grave in Milan Monumental Cimitery,Point(9.178419542 45.487020453),http://www.wikidata.org/entity/Q860861,scultura
http://www.wikidata.org/entity/Q111413076,Best Western Madison Hotel,"hotel in Milan, Italy",Point(9.2016 45.4881),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q111413051,Best Western Plus Hotel Galles,"hotel in Milan, Italy",Point(9.21174 45.48039),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q111413051,Best Western Plus Hotel Galles,"hotel in Milan, Italy",Point(9.2116 45.48058),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q134392652,Biblioteca del Grano di Milano,"museum of contemporay art, Milano",Point(9.215936049 45.427993753),http://www.wikidata.org/entity/Q22746,parco cittadino
http://www.wikidata.org/entity/Q134392652,Biblioteca del Grano di Milano,"museum of contemporay art, Milano",Point(9.215936049 45.427993753),http://www.wikidata.org/entity/Q207694,museo d'arte
http://www.wikidata.org/entity/Q134392652,Biblioteca del Grano di Milano,"museum of contemporay art, Milano",Point(9.215936049 45.427993753),http://www.wikidata.org/entity/Q1595639,museo locale
http://www.wikidata.org/entity/Q111413059,Bulgari Hotel Milano,"hotel in Milan, Italy",Point(9.18965 45.47028),http://www.wikidata.org/entity/Q27686,albergo
http://www.wikidata.org/entity/Q113167108,CHEZPLINIO (Corvetto),art gallery of Milano Corvetto,Point(9.207514568 45.435124369),http://www.wikidata.org/entity/Q1007870,galleria d'arte
