direct_class_qid,direct_class_label,count,sample_item_qid,sample_item_label,decision,eventour_category,needs_review,notes
Q79007,strada urbana,420,Q134621689,Via Carlo Pattellani,,,yes,
Q2651004,palazzo italiano,368,Q71615031,Palazzo Meli Lupi di Soragna,,,yes,
Q16970,chiesa,324,Q134392399,Oratorio di Santa Maria al Portello Vigentino,,,yes,
Q174782,piazza,251,Q48800881,Carrobbio,,,yes,
Q41176,edificio,215,Q130314319,Q130314319,,,yes,
Q3947,casa,170,Q62133434,Corso Monforte 32,,,yes,
Q16560,palazzo,161,Q134392381,Corso Di Porta Vigentina 31,,,yes,
Q385994,biblioteca specializzata,138,Q113319461,Associazione Centro Studi Libertari Giuseppe Pinelli,,,yes,
Q9842,scuola primaria,125,Q52809926,A.S.Novaro E C.C.Ferrucci-Milan,,,yes,
Q27686,albergo,111,Q112018380,AHD Rooms,,,yes,
Q22808403,stazione sotterranea,108,Q1085042,Q1085042,,,yes,
Q928830,stazione metropolitana,106,Q1085042,Q1085042,,,yes,
Q42961155,quartiere di Milano,102,Q93964021,Abbadesse,,,yes,
Q24354,teatro,97,Q78798255,Cinema Teatro Ciak,,,yes,
Q22746,parco cittadino,96,Q134392652,Biblioteca del Grano di Milano,,,yes,
Q166118,archivio,89,Q134400133,"Club alpino italiano. Sezione di Milano, Milano (MI)",,,yes,
Q1622062,biblioteca universitaria,89,Q113298716,Biblioteca Alberto Malliani. Università degli studi di Milano,,,yes,
Q126807,scuola dell'infanzia,89,Q52945064,Asilo Crivelli,,,yes,
Q380829,biblioteca privata,87,Q113515481,Archivio OUTIS. Centro Nazionale di Drammaturgia Contemporanea,,,yes,
Q1497375,complesso di edifici,82,Q134392508,Le Village by CA Milano,,,yes,
Q41253,cinema,58,Q134568734,Cinema Prada,,,yes,
Q721747,targa commemorativa,57,Q138608470,plaque to Ornella Vanoni,,,yes,
Q1169748,cascina,52,Q3625609,Assiano,,,yes,
Q82117,porta cittadina,48,Q3398707,Archi di Porta Nuova,,,yes,
Q56177191,istituto comprensivo,46,Q52780695,"Istituto comprensivo ""G. Pascoli""",,,yes,
Q57775518,scuola secondaria di primo grado,45,Q52782111,Achille Mauri,,,yes,
Q12104567,complesso residenziale,44,Q18222859,Borgo Pirelli,,,yes,
Q5003624,monumento commemorativo,44,Q106734239,"Alla Libertà, alla Pace, al Lavoro",,,yes,
Q124750618,biblioteca di un ente territoriale italiano,41,Q112941454,Biblioteca Comunale Rionale Accursio,,,yes,
Q207694,museo d'arte,41,Q134392652,Biblioteca del Grano di Milano,,,yes,
Q3950,villa,39,Q136327921,Villa Borletti,,,yes,
Q28564,biblioteca pubblica,38,Q112941454,Biblioteca Comunale Rionale Accursio,,,yes,
Q123705,quartiere,38,Q4949177,Bottonuto,,,yes,
Q1244442,edificio scolastico,33,Q112141923,Brefotrofio Provinciale (ex),,,yes,
Q7075,biblioteca,32,Q124358142,"Archivi Musicali della RAI, Milano (I-Mrai)",,,yes,
Q56478984,giardino cittadino,31,Q106830718,Giardini Cesare Pagani,,,yes,
Q860861,scultura,31,Q135022213,Besenzanica grave,,,yes,
Q11303,grattacielo,30,Q88114766,Centro Diaz,,,yes,
Q614316,museo privato,30,Q85859030,ADI Design Museum,,,yes,
Q4989906,monumento,29,Q134392774,Il Cristun de Cement,,,yes,
Q55876909,chiesa parrocchiale cattolica,27,Q860569,abbazia di Chiaravalle,,,yes,
Q33506,museo,26,Q134412777,Ristorante Torre (Prada),,,yes,
Q43229,organizzazione,25,Q136089381,DoDo,,,yes,
Q570116,attrazione turistica,24,Q134392399,Oratorio di Santa Maria al Portello Vigentino,,,yes,
Q105763925,biblioteca di conservazione,23,Q815611,Biblioteca Ambrosiana,,,yes,
Q108860593,museo d'arte moderna,23,Q81172860,Comune di Milano. Castello Sforzesco. Civico gabinetto dei disegni,,,yes,
Q1498804,casa multifamiliare,22,Q128201160,Q128201160,,,yes,
Q1021645,edificio per uffici,22,Q60838261,Bicocca 307,,,yes,
Q179700,statua,22,Q54913920,"Omaggio Alla Citta' Di Milano ""Le Gabbie virtuali Sono Pericolose""",,,yes,
Q2175765,fermata del tram,21,Q131915991,Arcimboldi Ateneo Nuovo,,,yes,
Q1007870,galleria d'arte,20,Q134889047,Atelier TuttoNero,,,yes,
Q3803834,istituto tecnico,20,Q52841801,Ettore Conti,,,yes,
Q16917,ospedale,20,Q3649076,Ca' Granda,,,yes,
Q9826,scuola secondaria di secondo grado,20,Q52800221,Bertrand Russell,,,yes,
Q39614,cimitero,19,Q17630717,Fopponino di Porta Vercellina,,,yes,
Q19860854,ex edificio o struttura,19,Q78798255,Cinema Teatro Ciak,,,yes,
Q34442,strada,19,Q127957241,"Via Corsico, Milan",,,yes,
Q135713224,Q135713224,18,Q85859030,ADI Design Museum,,,yes,
Q1430154,chiostro,18,Q112318788,Chiostri di S. Eustorgio,,,yes,
Q580499,oratorio,18,Q112137362,Edificio via S. Maria Fulcorina 7,,,yes,
Q12518,torre,18,Q112319908,Campanile della chiesa di S. Maurizio al Monastero Maggiore,,,yes,
Q3831968,liceo scientifico,17,Q52972743,Liceo Scientifico De Amicis,,,yes,
Q811534,pianta monumentale,17,Q55741814,bagolaro,,,yes,
Q124750593,biblioteca di un ente pubblico italiano,16,Q113515454,Biblioteca Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,,,yes,
Q19730508,comune soppresso,16,Q3606188,Affori,,,yes,
Q149566,scuola media,16,Q52986174,Istituto Tecnico Commerciale De Amicis,,,yes,
Q55488,stazione ferroviaria,16,Q112142863,Stazione ferroviaria Milano-Monza (ex),,,yes,
